labels: [0 1 2 3 4]
label counts: [6819  755  125  369  297]
training with class weights: tensor([ 0.2453,  2.2159, 13.3840,  4.5339,  5.6330])

epoch: 0, batch: 10, ce loss: 1.60588, 0.5 * mse loss: 1.74425, lr: 0.0000003
epoch: 0, batch: 20, ce loss: 1.58364, 0.5 * mse loss: 1.70591, lr: 0.0000007
epoch: 0, batch: 30, ce loss: 1.58897, 0.5 * mse loss: 1.68575, lr: 0.0000011
epoch: 0, batch: 40, ce loss: 1.61653, 0.5 * mse loss: 1.70534, lr: 0.0000015
epoch: 0, batch: 50, ce loss: 1.59182, 0.5 * mse loss: 1.67162, lr: 0.0000019
epoch: 0, batch: 60, ce loss: 1.62617, 0.5 * mse loss: 1.66530, lr: 0.0000023
epoch: 0, batch: 70, ce loss: 1.62062, 0.5 * mse loss: 1.80838, lr: 0.0000026
epoch: 0, batch: 80, ce loss: 1.61626, 0.5 * mse loss: 1.75907, lr: 0.0000030
epoch: 0, batch: 90, ce loss: 1.60986, 0.5 * mse loss: 1.64370, lr: 0.0000034
epoch: 0, batch: 100, ce loss: 1.61346, 0.5 * mse loss: 1.47666, lr: 0.0000038
epoch: 0, batch: 110, ce loss: 1.54651, 0.5 * mse loss: 1.75014, lr: 0.0000042
epoch: 0, batch: 120, ce loss: 1.61451, 0.5 * mse loss: 1.80470, lr: 0.0000046
epoch: 0, batch: 130, ce loss: 1.59598, 0.5 * mse loss: 1.68036, lr: 0.0000049
epoch: 0, batch: 140, ce loss: 1.61871, 0.5 * mse loss: 1.53389, lr: 0.0000053
epoch: 0, batch: 150, ce loss: 1.63917, 0.5 * mse loss: 1.50775, lr: 0.0000057
epoch: 0, batch: 160, ce loss: 1.62208, 0.5 * mse loss: 1.68787, lr: 0.0000061
epoch: 0, batch: 170, ce loss: 1.61822, 0.5 * mse loss: 1.89200, lr: 0.0000065
epoch: 0, batch: 180, ce loss: 1.60314, 0.5 * mse loss: 1.67733, lr: 0.0000068
epoch: 0, batch: 190, ce loss: 1.58875, 0.5 * mse loss: 1.79028, lr: 0.0000072
epoch: 0, batch: 200, ce loss: 1.59486, 0.5 * mse loss: 1.72840, lr: 0.0000076
epoch: 0, batch: 210, ce loss: 1.62352, 0.5 * mse loss: 1.56458, lr: 0.0000080
epoch: 0, batch: 220, ce loss: 1.62272, 0.5 * mse loss: 1.64722, lr: 0.0000084
epoch: 0, batch: 230, ce loss: 1.59761, 0.5 * mse loss: 1.53689, lr: 0.0000088
epoch: 0, batch: 240, ce loss: 1.62690, 0.5 * mse loss: 1.64474, lr: 0.0000091
epoch: 0, batch: 250, ce loss: 1.58909, 0.5 * mse loss: 1.72407, lr: 0.0000095
epoch: 0, batch: 260, ce loss: 1.62369, 0.5 * mse loss: 1.65813, lr: 0.0000099
epoch: 0, batch: 270, ce loss: 1.62817, 0.5 * mse loss: 1.63234, lr: 0.0000103
epoch: 0, batch: 280, ce loss: 1.59339, 0.5 * mse loss: 1.91157, lr: 0.0000107
epoch: 0, batch: 290, ce loss: 1.60382, 0.5 * mse loss: 1.79141, lr: 0.0000111
epoch: 0, batch: 300, ce loss: 1.59120, 0.5 * mse loss: 1.66437, lr: 0.0000114
epoch: 0, batch: 310, ce loss: 1.60161, 0.5 * mse loss: 1.79981, lr: 0.0000118
epoch: 0, batch: 320, ce loss: 1.60720, 0.5 * mse loss: 1.52657, lr: 0.0000122
epoch: 0, batch: 330, ce loss: 1.61163, 0.5 * mse loss: 1.61847, lr: 0.0000126
epoch: 0, batch: 340, ce loss: 1.58242, 0.5 * mse loss: 1.87476, lr: 0.0000130
epoch: 0, batch: 350, ce loss: 1.61211, 0.5 * mse loss: 1.78757, lr: 0.0000133
epoch: 0, batch: 360, ce loss: 1.59799, 0.5 * mse loss: 1.64539, lr: 0.0000137
epoch: 0, batch: 370, ce loss: 1.58671, 0.5 * mse loss: 1.53380, lr: 0.0000141
epoch: 0, batch: 380, ce loss: 1.59789, 0.5 * mse loss: 1.65175, lr: 0.0000145
epoch: 0, batch: 390, ce loss: 1.61348, 0.5 * mse loss: 1.56189, lr: 0.0000149
epoch: 0, batch: 400, ce loss: 1.57023, 0.5 * mse loss: 1.78301, lr: 0.0000153
epoch: 0, batch: 410, ce loss: 1.58566, 0.5 * mse loss: 1.65014, lr: 0.0000156
epoch: 0, batch: 420, ce loss: 1.61099, 0.5 * mse loss: 1.67398, lr: 0.0000160
epoch: 0, batch: 430, ce loss: 1.58816, 0.5 * mse loss: 1.87085, lr: 0.0000164
epoch: 0, batch: 440, ce loss: 1.60164, 0.5 * mse loss: 1.73950, lr: 0.0000168
epoch: 0, batch: 450, ce loss: 1.59613, 0.5 * mse loss: 1.71212, lr: 0.0000172
epoch: 0, batch: 460, ce loss: 1.59799, 0.5 * mse loss: 1.57879, lr: 0.0000176
epoch: 0, batch: 470, ce loss: 1.60809, 0.5 * mse loss: 1.57583, lr: 0.0000179
epoch: 0, batch: 480, ce loss: 1.58931, 0.5 * mse loss: 1.38717, lr: 0.0000183
epoch: 0, batch: 490, ce loss: 1.58482, 0.5 * mse loss: 1.85155, lr: 0.0000187
epoch: 0, batch: 500, ce loss: 1.55988, 0.5 * mse loss: 1.62496, lr: 0.0000191
epoch: 0, batch: 510, ce loss: 1.59412, 0.5 * mse loss: 1.73658, lr: 0.0000195
epoch: 0, batch: 520, ce loss: 1.58197, 0.5 * mse loss: 1.85774, lr: 0.0000198
epoch: 1, batch: 10, ce loss: 1.59346, 0.5 * mse loss: 1.49804, lr: 0.0000200
epoch: 1, batch: 20, ce loss: 1.60434, 0.5 * mse loss: 1.45216, lr: 0.0000199
epoch: 1, batch: 30, ce loss: 1.61716, 0.5 * mse loss: 1.63103, lr: 0.0000199
epoch: 1, batch: 40, ce loss: 1.58343, 0.5 * mse loss: 1.52783, lr: 0.0000198
epoch: 1, batch: 50, ce loss: 1.59296, 0.5 * mse loss: 1.58536, lr: 0.0000198
epoch: 1, batch: 60, ce loss: 1.58899, 0.5 * mse loss: 1.66437, lr: 0.0000197
epoch: 1, batch: 70, ce loss: 1.61961, 0.5 * mse loss: 1.49183, lr: 0.0000197
epoch: 1, batch: 80, ce loss: 1.55805, 0.5 * mse loss: 1.36954, lr: 0.0000197
epoch: 1, batch: 90, ce loss: 1.57635, 0.5 * mse loss: 1.59311, lr: 0.0000196
epoch: 1, batch: 100, ce loss: 1.57311, 0.5 * mse loss: 1.52181, lr: 0.0000196
epoch: 1, batch: 110, ce loss: 1.58185, 0.5 * mse loss: 1.83649, lr: 0.0000195
epoch: 1, batch: 120, ce loss: 1.57653, 0.5 * mse loss: 1.55720, lr: 0.0000195
epoch: 1, batch: 130, ce loss: 1.57473, 0.5 * mse loss: 1.55607, lr: 0.0000195
epoch: 1, batch: 140, ce loss: 1.56916, 0.5 * mse loss: 1.70108, lr: 0.0000194
epoch: 1, batch: 150, ce loss: 1.58735, 0.5 * mse loss: 1.59775, lr: 0.0000194
epoch: 1, batch: 160, ce loss: 1.57186, 0.5 * mse loss: 1.78014, lr: 0.0000193
epoch: 1, batch: 170, ce loss: 1.57996, 0.5 * mse loss: 1.51917, lr: 0.0000193
epoch: 1, batch: 180, ce loss: 1.61453, 0.5 * mse loss: 1.47692, lr: 0.0000192
epoch: 1, batch: 190, ce loss: 1.58599, 0.5 * mse loss: 1.54223, lr: 0.0000192
epoch: 1, batch: 200, ce loss: 1.60632, 0.5 * mse loss: 1.73234, lr: 0.0000192
epoch: 1, batch: 210, ce loss: 1.58415, 0.5 * mse loss: 1.84202, lr: 0.0000191
epoch: 1, batch: 220, ce loss: 1.60774, 0.5 * mse loss: 1.54945, lr: 0.0000191
epoch: 1, batch: 230, ce loss: 1.60498, 0.5 * mse loss: 1.59390, lr: 0.0000190
epoch: 1, batch: 240, ce loss: 1.61414, 0.5 * mse loss: 1.47353, lr: 0.0000190
epoch: 1, batch: 250, ce loss: 1.58480, 0.5 * mse loss: 1.82634, lr: 0.0000189
epoch: 1, batch: 260, ce loss: 1.55895, 0.5 * mse loss: 1.50070, lr: 0.0000189
epoch: 1, batch: 270, ce loss: 1.61532, 0.5 * mse loss: 1.54908, lr: 0.0000189
epoch: 1, batch: 280, ce loss: 1.61331, 0.5 * mse loss: 1.65720, lr: 0.0000188
epoch: 1, batch: 290, ce loss: 1.59035, 0.5 * mse loss: 1.62351, lr: 0.0000188
epoch: 1, batch: 300, ce loss: 1.60161, 0.5 * mse loss: 1.39224, lr: 0.0000187
epoch: 1, batch: 310, ce loss: 1.59957, 0.5 * mse loss: 1.35133, lr: 0.0000187
epoch: 1, batch: 320, ce loss: 1.59730, 0.5 * mse loss: 1.56678, lr: 0.0000186
epoch: 1, batch: 330, ce loss: 1.57452, 0.5 * mse loss: 1.39995, lr: 0.0000186
epoch: 1, batch: 340, ce loss: 1.55231, 0.5 * mse loss: 1.58952, lr: 0.0000186
epoch: 1, batch: 350, ce loss: 1.54417, 0.5 * mse loss: 1.49930, lr: 0.0000185
epoch: 1, batch: 360, ce loss: 1.59603, 0.5 * mse loss: 1.50279, lr: 0.0000185
epoch: 1, batch: 370, ce loss: 1.56869, 0.5 * mse loss: 1.66696, lr: 0.0000184
epoch: 1, batch: 380, ce loss: 1.61445, 0.5 * mse loss: 1.69737, lr: 0.0000184
epoch: 1, batch: 390, ce loss: 1.57372, 0.5 * mse loss: 1.56330, lr: 0.0000183
epoch: 1, batch: 400, ce loss: 1.60717, 0.5 * mse loss: 1.53358, lr: 0.0000183
epoch: 1, batch: 410, ce loss: 1.56390, 0.5 * mse loss: 1.54489, lr: 0.0000183
epoch: 1, batch: 420, ce loss: 1.59650, 0.5 * mse loss: 1.53973, lr: 0.0000182
epoch: 1, batch: 430, ce loss: 1.60154, 0.5 * mse loss: 1.60745, lr: 0.0000182
epoch: 1, batch: 440, ce loss: 1.59736, 0.5 * mse loss: 1.55060, lr: 0.0000181
epoch: 1, batch: 450, ce loss: 1.59711, 0.5 * mse loss: 1.34881, lr: 0.0000181
epoch: 1, batch: 460, ce loss: 1.58444, 0.5 * mse loss: 1.45124, lr: 0.0000180
epoch: 1, batch: 470, ce loss: 1.62261, 0.5 * mse loss: 1.57846, lr: 0.0000180
epoch: 1, batch: 480, ce loss: 1.60979, 0.5 * mse loss: 1.54077, lr: 0.0000180
epoch: 1, batch: 490, ce loss: 1.57848, 0.5 * mse loss: 1.72318, lr: 0.0000179
epoch: 1, batch: 500, ce loss: 1.58940, 0.5 * mse loss: 1.48313, lr: 0.0000179
epoch: 1, batch: 510, ce loss: 1.57829, 0.5 * mse loss: 1.68203, lr: 0.0000178
epoch: 1, batch: 520, ce loss: 1.60647, 0.5 * mse loss: 1.66300, lr: 0.0000178
epoch: 2, batch: 10, ce loss: 1.60038, 0.5 * mse loss: 1.58202, lr: 0.0000177
epoch: 2, batch: 20, ce loss: 1.59089, 0.5 * mse loss: 1.53921, lr: 0.0000177
epoch: 2, batch: 30, ce loss: 1.54572, 0.5 * mse loss: 1.64686, lr: 0.0000177
epoch: 2, batch: 40, ce loss: 1.61153, 0.5 * mse loss: 1.54593, lr: 0.0000176
epoch: 2, batch: 50, ce loss: 1.54930, 0.5 * mse loss: 1.38881, lr: 0.0000176
epoch: 2, batch: 60, ce loss: 1.60482, 0.5 * mse loss: 1.42262, lr: 0.0000175
epoch: 2, batch: 70, ce loss: 1.59023, 0.5 * mse loss: 1.30762, lr: 0.0000175
epoch: 2, batch: 80, ce loss: 1.58449, 0.5 * mse loss: 1.49124, lr: 0.0000174
epoch: 2, batch: 90, ce loss: 1.58420, 0.5 * mse loss: 1.56211, lr: 0.0000174
epoch: 2, batch: 100, ce loss: 1.57537, 0.5 * mse loss: 1.27543, lr: 0.0000174
epoch: 2, batch: 110, ce loss: 1.59261, 0.5 * mse loss: 1.52382, lr: 0.0000173
epoch: 2, batch: 120, ce loss: 1.60329, 0.5 * mse loss: 1.57947, lr: 0.0000173
epoch: 2, batch: 130, ce loss: 1.56009, 0.5 * mse loss: 1.66067, lr: 0.0000172
epoch: 2, batch: 140, ce loss: 1.61716, 0.5 * mse loss: 1.55612, lr: 0.0000172
epoch: 2, batch: 150, ce loss: 1.53495, 0.5 * mse loss: 1.43100, lr: 0.0000171
epoch: 2, batch: 160, ce loss: 1.60380, 0.5 * mse loss: 1.57704, lr: 0.0000171
